dname,iteration,base_model,size,Algorithm,Time,AUROC,PRAUC,F1_score,geometric_mean,matthews_corrcoef
glass2,1,DT,20,SPE,0.0667572021484375,0.9416666666666668,0.3873015873015873,0.6,0.9486832980505138,0.6210590034081188
glass2,1,DT,20,Easy100,0.0541672706604003,0.8875,0.4,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,1,DT,20,Cascade100,0.0553064346313476,0.9625,0.7666666666666666,0.4615384615384615,0.9082951062292476,0.49749371855331
glass2,1,DT,20,RusBoost100,0.0539588928222656,0.7833333333333333,0.2100389863547758,0.2,0.532290647422377,0.1265120192127649
glass2,1,DT,20,DES-P,0.0075509548187255,0.9666666666666668,0.6444444444444444,0.6666666666666666,0.9617692030835672,0.6800735254367721
glass2,1,DT,20,META-DES,0.0459756851196289,0.975,0.7555555555555555,0.6666666666666666,0.8062257748298549,0.6416666666666667
glass2,1,DT,20,knorae,0.0076203346252441,0.9916666666666668,0.9166666666666664,0.8571428571428571,0.987420882906575,0.8551315688243534
glass2,1,DT,20,knorau,0.0076496601104736,0.9583333333333334,0.5555555555555556,0.6666666666666666,0.9617692030835672,0.6800735254367721
glass2,1,DT,20,knop,0.0108532905578613,0.9666666666666668,0.7222222222222222,0.6,0.9486832980505138,0.6210590034081188
glass2,1,DT,20,DESKNN,0.0143442153930664,0.9708333333333332,0.6666666666666667,0.5714285714285714,0.7958224257542214,0.5408524452393346
glass2,1,DT,20,deskl,0.0552058219909668,0.9583333333333331,0.6984126984126984,0.6,0.9486832980505138,0.6210590034081188
glass2,1,DT,20,rrc,0.4907073974609375,0.9583333333333331,0.6984126984126984,0.6,0.9486832980505138,0.6210590034081188
glass2,2,DT,20,SPE,0.1105694770812988,0.75,0.1476430976430976,0.0,0.0,-0.0993399267798783
glass2,2,DT,20,Easy100,0.1460134983062744,0.6958333333333333,0.136437908496732,0.1666666666666666,0.5163977794943222,0.0834965721446865
glass2,2,DT,20,Cascade100,0.1269674301147461,0.5499999999999999,0.1089743589743589,0.0,0.0,-0.0604858378909133
glass2,2,DT,20,RusBoost100,0.0759384632110595,0.7083333333333333,0.4177777777777777,0.1333333333333333,0.4915960401250875,0.0331311069977454
glass2,2,DT,20,DES-P,0.0089390277862548,0.8458333333333333,0.2341269841269841,0.0,0.0,-0.0877058019307029
glass2,2,DT,20,META-DES,0.1933145523071289,0.65,0.1171377641965877,0.0,0.0,-0.0604858378909133
glass2,2,DT,20,knorae,0.0099198818206787,0.8708333333333333,0.25,0.0,0.0,-0.0877058019307029
glass2,2,DT,20,knorau,0.0228872299194335,0.8333333333333333,0.2277167277167277,0.0,0.0,-0.0993399267798783
glass2,2,DT,20,knop,0.0356249809265136,0.7083333333333333,0.1446950710108605,0.0,0.0,-0.0877058019307029
glass2,2,DT,20,DESKNN,0.0099549293518066,0.8333333333333334,0.205026455026455,0.0,0.0,-0.0604858378909133
glass2,2,DT,20,deskl,0.0532445907592773,0.8250000000000001,0.2244047619047618,0.0,0.0,-0.0877058019307029
