,dname,iteration,base_model,Algorithm,Time,AUROC,PRAUC,F1_score,geometric_mean,matthews_corrcoef
0,ps_failure.csv,1,DT,SPE,1.4273695945739746,0.9938170854271356,0.8407414106256524,0.6829971181556196,0.9226640277897744,0.6916578426193171
1,ps_failure.csv,1,DT,Easy100,2.7920737266540527,0.9879945180447692,0.6194870506271594,0.4218009478672986,0.9611509014074648,0.4979940677796506
2,ps_failure.csv,1,DT,Cascade100,1.1153712272644043,0.9905064717527028,0.7966872210429999,0.5327868852459017,0.9578718607407276,0.5820318750415371
3,ps_failure.csv,1,DT,RusBoost100,1.3394663333892822,0.984662707476778,0.6642943533791157,0.4262847514743049,0.9377516859252302,0.4915504253760352
4,ps_failure.csv,1,DT,DES-P,1.8918735980987549,0.9904313080554288,0.825529097892498,0.7082066869300911,0.915837007049312,0.7120079916893292
5,ps_failure.csv,1,DT,META-DES,52.55964064598084,0.9546006395614436,0.3585384089391907,0.5010060362173038,0.9364513169307148,0.5487230684156248
6,ps_failure.csv,1,DT,knorae,2.325117826461792,0.911179412212578,0.4908188511468274,0.6705710102489019,0.9070502328243778,0.6768343584462946
7,ps_failure.csv,1,DT,knorau,2.3273556232452397,0.9939821531901932,0.8538080668579658,0.7091988130563798,0.9272400021694858,0.7155935125368869
8,ps_failure.csv,1,DT,knop,4.283822774887085,0.9724958123953098,0.4833002413039149,0.5116279069767442,0.9442368609523988,0.5600886263037201
9,ps_failure.csv,1,DT,DESKNN,2.2795073986053467,0.945788944723618,0.6021707779078213,0.6342780026990553,0.9172346067894452,0.6487351343420185
10,ps_failure.csv,2,DT,SPE,1.1758229732513428,0.9859580325871782,0.8209384875595488,0.6907514450867052,0.9266746310238336,0.699420622280641
11,ps_failure.csv,2,DT,Easy100,2.740149736404419,0.9844857012334398,0.6306440663518174,0.4018058690744921,0.9590165512366884,0.4817410252889551
12,ps_failure.csv,2,DT,Cascade100,1.139439344406128,0.9816215623572409,0.7837306338220039,0.4660550458715596,0.9428248913221718,0.524260619964269
13,ps_failure.csv,2,DT,RusBoost100,1.1743078231811523,0.9787385411908024,0.510331537755214,0.3610518834399431,0.93236321920661,0.439040182730269
14,ps_failure.csv,2,DT,DES-P,1.821397066116333,0.9863569971067458,0.743198866674826,0.6987951807228916,0.9136530692043088,0.7031736274169101
15,ps_failure.csv,2,DT,META-DES,49.14952850341797,0.9547066240292372,0.2925203277302414,0.4815864022662889,0.9457307113265788,0.5374333487259414
16,ps_failure.csv,2,DT,knorae,2.254322290420532,0.8886053296786967,0.4173680894466228,0.6568483063328424,0.8950279048779017,0.6618945837756334
17,ps_failure.csv,2,DT,knorau,1.991750240325928,0.9867209989340642,0.8159715216917323,0.7076023391812866,0.9328201508521596,0.7156295500542628
18,ps_failure.csv,2,DT,knop,3.9403698444366455,0.973323465813918,0.4070787638172434,0.4980694980694981,0.952136209933156,0.5527917929618587
19,ps_failure.csv,2,DT,DESKNN,2.1210880279541016,0.9584403228262526,0.5191126440221588,0.6231691078561917,0.9149383072013478,0.638755693854051
20,ps_failure.csv,3,DT,SPE,1.1711130142211914,0.98708926450434,0.8153142715719741,0.6553191489361702,0.9103845341392832,0.6645527621950207
